Sample_code,plastics,PE_PP,PS,PET_polyester,PVC,m_sample_analyzed_(g),Location,Type,Pond Category
W-MVR-DWR-1,17,0,2,15,0,all,Meer van Rotselaar-DW,Water,Natural pond
W-MVR-DWR-2,0,0,0,0,0,all,Meer van Rotselaar-DW,Water,Natural pond
W-MVR-DWR-3,51,34,17,0,0,all,Meer van Rotselaar-DW,Water,Natural pond
W-DG-1,43,19,9,15,0,all,De Gavers,Water,Natural pond
W-DG-2,75,54,21,0,0,all,De Gavers,Water,Natural pond
W-DG-3,0,0,0,0,0,all,De Gavers,Water,Natural pond
W-KL-1,49,36,13,0,0,all,Kluizen,Water,Natural pond
W-KL-2,37,3,5,29,0,all,Kluizen,Water,Natural pond
W-KL-3,48,41,3,4,0,all,Kluizen,Water,Natural pond
W-LRV-1,6,6,0,0,0,all,Lange Rode Vijver,Water,Natural pond
W-LRV-2,209,98,12,99,0,all,Lange Rode Vijver,Water,Natural pond
W-LRV-3,111,37,73,1,0,all,Lange Rode Vijver,Water,Natural pond
W-Rkulak-1,90,29,60,1,0,all,Reserve Kulak,Water,Natural pond
W-Rkulak-2,37,12,4,21,0,all,Reserve Kulak,Water,Natural pond
W-Rkulak-3,30,0,13,17,0,all,Reserve Kulak,Water,Natural pond
W-DB-1,68,12,14,42,0,all,De Bourgoyen,Water,Natural pond
W-DB-2,356,48,264,44,0,all,De Bourgoyen,Water,Natural pond
W-DB-3,43,15,9,19,0,all,De Bourgoyen,Water,Natural pond
W-MVR-RP-1,21,21,0,0,0,all,Meer van Rotselaar-RP,Water,Natural pond
W-MVR-RP-2,58,35,23,0,0,all,Meer van Rotselaar-RP,Water,Natural pond
W-MVR-RP-3,52,2,18,32,0,all,Meer van Rotselaar-RP,Water,Natural pond
W-EB-1,152,38,18,96,0,all,Evangelie Boom,Water,Natural pond
W-EB-2,76,35,41,0,0,all,Evangelie Boom,Water,Natural pond
W-EB-3,281,51,201,29,0,all,Evangelie Boom,Water,Natural pond
W-DO-1,24,1,13,10,0,all,Donk-Oudenaarde,Water,Natural pond
W-DO-2,62,33,29,0,0,all,Donk-Oudenaarde,Water,Natural pond
W-DO-3,85,17,24,44,0,all,Donk-Oudenaarde,Water,Natural pond
W-SDP-1,41,27,14,0,0,all,Sint-Donatus Park,Water,Artificial pond
W-SDP-2,87,11,31,45,0,all,Sint-Donatus Park,Water,Artificial pond
W-SDP-3,99,26,20,53,0,all,Sint-Donatus Park,Water,Artificial pond
W-BP-1,111,17,92,2,0,all,Blauwe Poort Park,Water,Artificial pond
W-BP-2,145,29,108,8,0,all,Blauwe Poort Park,Water,Artificial pond
W-BP-3,81,48,33,0,0,all,Blauwe Poort Park,Water,Artificial pond
W-CP-1,1683,741,140,802,0,all,Citadelpark,Water,Artificial pond
W-CP-2,1928,230,642,1057,0,all,Citadelpark,Water,Artificial pond
W-CP-3,489,119,39,331,0,all,Citadelpark,Water,Artificial pond